image,candidate,offset_east_m,offset_north_m,offset_alt_m,yaw_offset_deg,edge_chamfer,edge_overlap_ratio,objective,passes_strict_visual_gate,selected_by_visual_objective,safe_output_worse_than_initial,valid_depth_ratio,query_edge_count,render_edge_count
0002.JPG,em1_nz0_yz0,-1.0,0.0,0.0,0.0,4.590873718261719,0.4811054709531867,4.109768247308532,True,False,False,1.0,1773,1775
0002.JPG,ez0_np1_yz0,0.0,1.0,0.0,0.0,4.766199111938477,0.45539906103286387,4.310800050905613,False,False,True,1.0,1773,1704
0002.JPG,ez0_nm1_yz0,0.0,-1.0,0.0,0.0,4.584899425506592,0.5044669446098868,4.080432480896705,True,False,False,1.0,1773,1679
0002.JPG,ez0_nz0_yp0p25,0.0,0.0,0.0,0.25,4.928179740905762,0.46980676328502413,4.458372977620738,False,False,True,1.0,1773,1656
0002.JPG,ez0_nz0_ym0p25,0.0,0.0,0.0,-0.25,4.589298248291016,0.5112781954887218,4.078020052802294,True,False,False,1.0,1773,1729
0002.JPG,ep1_nz0_ym0p25,1.0,0.0,0.0,-0.25,4.795174598693848,0.47868453105968334,4.316490067634164,False,False,True,1.0,1773,1642
0002.JPG,em1_nz0_ym0p25,-1.0,0.0,0.0,-0.25,4.566536903381348,0.5094569859670531,4.057079917414295,True,False,False,1.0,1773,1639
0002.JPG,ez0_np1_ym0p25,0.0,1.0,0.0,-0.25,4.959190368652344,0.4427658338175479,4.516424534834796,False,False,True,1.0,1773,1721
0002.JPG,ez0_nm1_ym0p25,0.0,-1.0,0.0,-0.25,5.027956008911133,0.4578313253012048,4.570124683609928,False,False,True,1.0,1773,1577
0002.JPG,em2_nz0_ym0p25,-2.0,0.0,0.0,-0.25,4.735403060913086,0.44609004739336494,4.289313013519721,False,False,True,1.0,1773,1688
0002.JPG,em1_np1_ym0p25,-1.0,1.0,0.0,-0.25,4.684549331665039,0.48408812729498163,4.2004612043700575,True,False,False,1.0,1773,1634
0002.JPG,em1_nm1_ym0p25,-1.0,-1.0,0.0,-0.25,4.785104751586914,0.48634590377113135,4.298758847815782,False,False,True,1.0,1773,1538
0002.JPG,em1_nz0_ym0p5,-1.0,0.0,0.0,-0.5,5.009430885314941,0.4486322188449848,4.560798666469957,False,False,True,1.0,1773,1645
0002.JPG,em0p5_nz0_ym0p25,-0.5,0.0,0.0,-0.25,4.897850036621094,0.46808510638297873,4.429764930238115,False,False,True,1.0,1773,1598
0002.JPG,em1p5_nz0_ym0p25,-1.5,0.0,0.0,-0.25,4.770029544830322,0.48166948674562887,4.2883600580846934,False,False,True,1.0,1773,1776
0002.JPG,em1_np0p5_ym0p25,-1.0,0.5,0.0,-0.25,4.762845516204834,0.48784933171324424,4.27499618449159,False,False,True,1.0,1773,1646
