image,candidate,stage,source,offset_east_m,offset_north_m,offset_alt_m,yaw_offset_deg,edge_chamfer,edge_overlap_ratio,unweighted_feature_loss,weighted_feature_loss_uniform,weighted_feature_loss_dom_edge,weighted_feature_loss_depth_gradient,weighted_feature_loss_combined,weighted_feature_loss_low_texture_downweight,passes_strict_visual_gate,selected_by_visual,selected_by_unweighted_feature,selected_by_weighted_uniform,selected_by_weighted_dom_edge,selected_by_weighted_depth_gradient,selected_by_weighted_combined,selected_by_weighted_low_texture_downweight,valid_depth_ratio,query_edge_count,render_edge_count
0003.JPG,coarse_ep5_np1,coarse_translation,local_grid,5.0,1.0,0.0,0.0,4.394256114959717,0.6851726472579553,0.22925858199596405,0.22925858199596405,0.2302389144897461,0.2396237552165985,0.23404476046562195,0.22564956545829773,False,False,False,False,False,False,False,False,1.0,1477,2084
0003.JPG,coarse_ep5_np3,coarse_translation,local_grid,5.0,3.0,0.0,0.0,4.072230339050293,0.7345971563981043,0.2328045666217804,0.232804536819458,0.23408016562461853,0.24369196593761444,0.23806028068065643,0.22989100217819214,True,False,False,False,False,False,False,False,1.0,1477,2167
0003.JPG,coarse_ep5_np5,coarse_translation,local_grid,5.0,5.0,0.0,0.0,4.0570573806762695,0.7027758970886933,0.23132258653640747,0.23132258653640747,0.2332732379436493,0.24157258868217468,0.23639242351055145,0.22905591130256653,True,False,False,False,False,False,False,False,1.0,1477,2148
0003.JPG,coarse_em5_np5__yaw_m2,yaw_refine,local_grid,-5.0,5.0,0.0,-2.0,4.326844215393066,0.6939742721733243,0.2506936192512512,0.25069358944892883,0.25445765256881714,0.26217085123062134,0.2580907940864563,0.2505042254924774,False,False,False,False,False,False,False,False,1.0,1477,2038
0003.JPG,coarse_em5_np5__yaw_m1,yaw_refine,local_grid,-5.0,5.0,0.0,-1.0,4.321461200714111,0.7142857142857143,0.24727480113506317,0.24727480113506317,0.2518141269683838,0.25856706500053406,0.25490137934684753,0.24699656665325165,True,False,False,False,False,False,False,False,1.0,1477,2202
0003.JPG,coarse_em5_np5__yaw_m0p5,yaw_refine,local_grid,-5.0,5.0,0.0,-0.5,4.3262939453125,0.6777251184834123,0.24604007601737976,0.24604007601737976,0.251240611076355,0.25745874643325806,0.25392672419548035,0.24561646580696106,False,False,False,False,False,False,False,False,1.0,1477,2118
0003.JPG,coarse_em5_np5__yaw_p0p5,yaw_refine,local_grid,-5.0,5.0,0.0,0.5,4.3564372062683105,0.7433987813134733,0.2470204085111618,0.2470203936100006,0.25249606370925903,0.2580743432044983,0.25468215346336365,0.24558624625205994,True,False,False,False,False,False,False,False,1.0,1477,2144
0003.JPG,coarse_em5_np5__yaw_p1,yaw_refine,local_grid,-5.0,5.0,0.0,1.0,4.273999214172363,0.7217332430602573,0.24589478969573975,0.24589478969573975,0.2521517872810364,0.25570210814476013,0.253396213054657,0.24435949325561523,True,False,False,False,False,False,False,False,1.0,1477,2056
0003.JPG,coarse_em5_np5__yaw_p2,yaw_refine,local_grid,-5.0,5.0,0.0,2.0,4.4620819091796875,0.7765741367637102,0.24789020419120789,0.24789020419120789,0.255104124546051,0.25568944215774536,0.25525912642478943,0.2468419075012207,False,False,False,False,False,False,False,False,1.0,1477,2171
0003.JPG,coarse_ep1_np3__yaw_m2,yaw_refine,local_grid,1.0,3.0,0.0,-2.0,4.002374649047852,0.7224102911306702,0.23754338920116425,0.23754338920116425,0.23922762274742126,0.2479192018508911,0.2427392452955246,0.2360946536064148,True,False,False,False,False,False,False,False,1.0,1477,2133
0003.JPG,coarse_ep1_np3__yaw_m1,yaw_refine,local_grid,1.0,3.0,0.0,-1.0,4.306785583496094,0.6939742721733243,0.2341708242893219,0.2341708391904831,0.2359655350446701,0.24539312720298767,0.23973584175109863,0.23197077214717865,False,False,False,False,False,False,False,False,1.0,1477,2047
0003.JPG,coarse_ep1_np3__yaw_m0p5,yaw_refine,local_grid,1.0,3.0,0.0,-0.5,4.516171932220459,0.6743398781313473,0.2326744794845581,0.2326745092868805,0.23494714498519897,0.24351035058498383,0.2382296770811081,0.23030170798301697,False,False,False,False,False,False,False,False,1.0,1477,2082
0003.JPG,coarse_ep1_np3__yaw_p0p5,yaw_refine,local_grid,1.0,3.0,0.0,0.5,4.135495662689209,0.7109004739336493,0.2316809594631195,0.2316809743642807,0.23460018634796143,0.24269819259643555,0.23772484064102173,0.22897885739803314,True,False,False,False,False,False,False,False,1.0,1477,2202
0003.JPG,coarse_ep1_np3__yaw_p1,yaw_refine,local_grid,1.0,3.0,0.0,1.0,4.2814836502075195,0.7176709546377793,0.23086921870708466,0.23086921870708466,0.23437313735485077,0.24001389741897583,0.23627632856369019,0.2276378571987152,True,False,False,False,False,False,False,False,1.0,1477,2161
0003.JPG,coarse_ep1_np3__yaw_p2,yaw_refine,local_grid,1.0,3.0,0.0,2.0,4.039834976196289,0.7332430602572783,0.23138388991355896,0.23138388991355896,0.23584362864494324,0.23814153671264648,0.23620128631591797,0.22771868109703064,True,False,False,False,False,False,False,False,1.0,1477,2078
0003.JPG,coarse_ep0_np5__yaw_m2,yaw_refine,local_grid,0.0,5.0,0.0,-2.0,4.177639961242676,0.7339201083276913,0.2395365685224533,0.2395365685224533,0.24197465181350708,0.2508726119995117,0.2454771250486374,0.23843786120414734,True,False,False,False,False,False,False,False,1.0,1477,2151
