dom_col,dom_patch_rel,dom_row,dsm_height,index,manual_label,manual_label_choices,manual_note,measurement_x,measurement_y,patch_mean_absdiff_rgb,photo_id,projected_x,projected_y,projection_depth,query_image,query_patch_rel,reprojection_error_px,tiepoint_index,tiepoint_raster_x,tiepoint_raster_y,tiepoint_xml_x,tiepoint_xml_y,tiepoint_xml_z
2679,patches/0001/dom_0030.png,7736,30.485021591186523,30,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,3923.0,898.0,32.168418884277344,13,3924.434464657551,896.9225345376803,361.7237316079979,0001.jpg,patches/0001/query_0030.png,1.794051469789676,381,253758.96254865205,3364606.4770693616,542026.171988903,3363245.9734289823,29.38673892241718
1369,patches/0000/dom_0031.png,5880,27.022140502929688,31,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,4305.0,1993.0,31.38439178466797,7,4305.975552863232,1992.4863073549468,365.4872439862909,0000.jpg,patches/0000/query_0031.png,1.102535043679946,390,253575.4605088375,3364866.409058747,541835.9094329283,3363500.8687553788,26.824551715025905
1625,patches/0000/dom_0032.png,5591,26.10304069519043,32,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,3816.0,2183.0,29.210905075073242,7,3816.3368109321773,2182.991532288537,365.0292922608288,0000.jpg,patches/0000/query_0032.png,0.336917358073979,410,253611.31884301978,3364906.7666938924,541870.6744340338,3363542.148841051,27.08483696302278
1042,patches/0000/dom_0033.png,5073,27.944286346435547,33,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,4166.0,3188.0,33.19411849975586,7,4166.321660041283,3187.611550492925,365.3312170925515,0000.jpg,patches/0000/query_0033.png,0.5043393715598394,411,253529.76762096919,3364979.327310672,541787.256508691,3363612.5000311984,27.530899699321765
1838,patches/0000/dom_0034.png,4918,27.34585952758789,34,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,3105.0,2884.0,29.718406677246094,7,3105.3216567947834,2884.2145650287616,365.3161011971863,0000.jpg,patches/0000/query_0034.png,0.38665390880967926,422,253641.1473276518,3365001.1175829656,541897.9834442264,3363637.2258669827,26.743945846686017
2987,patches/0000/dom_0035.png,4644,21.419342041015625,35,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,1506.0,2457.0,26.366464614868164,7,1506.0635632961082,2455.652709569663,369.624130820177,0000.jpg,patches/0000/query_0035.png,1.3487890110355052,431,253802.04229251627,3365039.4027260565,542057.7552549933,3363679.747072514,21.28950604718699
2084,patches/0000/dom_0036.png,5067,24.997163772583008,36,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,2897.0,2536.0,23.09174156188965,7,2897.020153452371,2535.388864446619,366.714467302736,0000.jpg,patches/0000/query_0036.png,0.611467763866998,439,253675.5920029105,3364980.2324046805,541932.9579978132,3363617.2672564522,25.047333287028778
3510,patches/0000/dom_0037.png,5709,14.574798583984375,37,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,1581.0,830.0,21.339181900024414,7,1581.6599072137594,830.4148407089835,375.56060903560734,0000.jpg,patches/0000/query_0037.png,0.779467988182773,442,253875.3374370208,3364890.342408891,542134.9492576987,3363532.7291303542,14.528326903511754
3510,patches/0001/dom_0038.png,5709,14.574798583984375,38,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,1571.0,2821.0,20.923282623291016,13,1572.0957243389444,2819.439996084634,377.24580196490183,0001.jpg,patches/0001/query_0038.png,1.9063640898087395,442,253875.3374370208,3364890.342408891,542134.9492576987,3363532.7291303542,14.528326903511754
1410,patches/0000/dom_0039.png,5395,23.363378524780273,39,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,3932.0,2559.0,50.661659240722656,7,3932.1804779357535,2559.8024605837722,369.5299771647237,0000.jpg,patches/0000/query_0039.png,0.8225054855755929,446,253581.20433106634,3364934.273337361,541839.8517383407,3363568.8391336594,22.861522719604636
2129,patches/0000/dom_0040.png,4955,25.7431640625,40,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,2765.0,2645.0,23.219799041748047,7,2765.4333756571555,2644.589197121231,366.5651153931247,0000.jpg,patches/0000/query_0040.png,0.597137727345984,464,253682.00999341387,3364995.8798679565,541938.9571510605,3363633.0741207153,25.17660540290126
1238,patches/0000/dom_0041.png,5371,28.44198226928711,41,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,4136.0,2708.0,38.00458526611328,7,4137.244426511848,2706.8842310702657,364.6089752834043,0000.jpg,patches/0000/query_0041.png,1.671387940590517,469,253557.15705677707,3364937.7052608,541815.7298744522,3363571.631747208,27.970617600185847
1996,patches/0000/dom_0042.png,4896,26.926734924316406,42,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,2894.0,2808.0,29.21186637878418,7,2893.2903754976364,2807.498758878517,365.51570904020116,0000.jpg,patches/0000/query_0042.png,0.8687977878771554,479,253663.33973297643,3365004.14329972,541920.0806545746,3363640.8373912834,26.382129803875216
1964,patches/0000/dom_0043.png,4683,29.821325302124023,43,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,2793.0,3102.0,27.102798461914062,7,2793.097101483251,3100.779580682169,362.2005601575512,0000.jpg,patches/0000/query_0043.png,1.2242761164804128,497,253658.8391635055,3365033.9361981875,541914.7939427518,3363670.4908753075,29.785486095206352
4656,patches/0002/dom_0044.png,7698,14.808362007141113,44,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,1477.0,1035.0,18.91010093688965,17,1477.839494821109,1035.6655543082707,375.32655326620704,0002.jpg,patches/0002/query_0044.png,1.0713141891743734,542,254035.85733795777,3364611.7201478523,542302.7406821095,3363258.546922614,14.739907543026277
1721,patches/0002/dom_0045.png,7459,25.993000030517578,45,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,4795.0,3213.0,29.62257957458496,17,4796.015770014688,3212.9948179433404,367.9627862420495,0002.jpg,patches/0002/query_0045.png,1.0157832330035388,562,253624.83509287355,3364645.2880500797,541891.1074531955,3363281.2055400154,25.566674029344483
2973,patches/0001/dom_0046.png,5191,22.828954696655273,46,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,1880.0,3787.0,24.8751277923584,13,1880.5516324256023,3786.3314096872036,370.5387922415238,0001.jpg,patches/0001/query_0046.png,0.8667821752557067,729,253800.09967083708,3364962.792253985,542057.8432996448,3363603.1370018413,22.32179498497902
2818,patches/0000/dom_0047.png,4853,23.952564239501953,47,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,1839.0,2313.0,24.77523422241211,7,1839.796465234168,2313.602096700897,367.20554340628155,0000.jpg,patches/0000/query_0047.png,0.9984374324260196,822,253778.40904603957,3365010.162450893,542034.9125653153,3363649.900563287,23.83365536077497
2001,patches/0002/dom_0048.png,8003,22.897977828979492,48,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,4833.0,2398.0,49.008052825927734,17,4834.89287725877,2397.942253899383,369.64961632093565,0002.jpg,patches/0002/query_0048.png,1.893757885502736,859,253664.06024889293,3364569.0298279678,541932.3258206829,3363206.0379503067,23.090902256714116
