image,candidate,rotation_convention,axis_transform_key,axis_transform,principal_point_mode,distortion_enabled,sampling_mode,ray_step_m,render_scale,edge_chamfer,edge_overlap_ratio,valid_depth_ratio,query_edge_count,render_edge_count,edge_overlap_count,render_time_sec
0000.jpg,screen_044_R_xml_ppm_flip_y_dist_nearest_step2p0_scale0p25,R_xml,ppm,"[1.0, 1.0, -1.0]",flip_y,True,nearest,2.0,0.25,inf,0.0,0.0,21217,0,0,4.988423093000165
0000.jpg,screen_045_R_xml_ppm_flip_y_dist_bilinear_step2p0_scale0p25,R_xml,ppm,"[1.0, 1.0, -1.0]",flip_y,True,bilinear,2.0,0.25,inf,0.0,0.0,21217,0,0,12.611733239002206
0000.jpg,screen_046_R_xml_ppm_flip_y_dist_nearest_step1p0_scale0p25,R_xml,ppm,"[1.0, 1.0, -1.0]",flip_y,True,nearest,1.0,0.25,inf,0.0,0.0,21217,0,0,9.323843796999427
0000.jpg,screen_047_R_xml_ppm_flip_y_dist_bilinear_step1p0_scale0p25,R_xml,ppm,"[1.0, 1.0, -1.0]",flip_y,True,bilinear,1.0,0.25,inf,0.0,0.0,21217,0,0,21.472319897002308
0000.jpg,screen_048_R_xml_pmp_xml_nodist_nearest_step10p0_scale0p25,R_xml,pmp,"[1.0, -1.0, 1.0]",xml,False,nearest,10.0,0.25,39.112979888916016,0.10091455775494863,0.998431994362227,21217,15964,1611,0.7014677619990835
0000.jpg,screen_049_R_xml_pmp_xml_nodist_bilinear_step10p0_scale0p25,R_xml,pmp,"[1.0, -1.0, 1.0]",xml,False,bilinear,10.0,0.25,37.93347930908203,0.09914789616223,0.9984373563746668,21217,15139,1501,1.7935818969999673
0000.jpg,screen_050_R_xml_pmp_xml_nodist_nearest_step2p0_scale0p25,R_xml,pmp,"[1.0, -1.0, 1.0]",xml,False,nearest,2.0,0.25,37.94279479980469,0.10251737868664372,0.9985331065968073,21217,14817,1519,2.080682555999374
0000.jpg,screen_051_R_xml_pmp_xml_nodist_bilinear_step2p0_scale0p25,R_xml,pmp,"[1.0, -1.0, 1.0]",xml,False,bilinear,2.0,0.25,40.68067169189453,0.10777347871966232,0.9985377026074701,21217,14215,1532,5.765571070001897
0000.jpg,screen_052_R_xml_pmp_xml_nodist_nearest_step1p0_scale0p25,R_xml,pmp,"[1.0, -1.0, 1.0]",xml,False,nearest,1.0,0.25,35.88144302368164,0.1052351493381228,0.9985913227318688,21217,15033,1582,3.655746171996725
0000.jpg,screen_053_R_xml_pmp_xml_nodist_bilinear_step1p0_scale0p25,R_xml,pmp,"[1.0, -1.0, 1.0]",xml,False,bilinear,1.0,0.25,36.207542419433594,0.10892930963207938,0.998592854735423,21217,14514,1581,9.100774250997347
